#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
     236	HYA   	V906 Tau                   	G1V          	04 26 24.72	+16 51 11.5	 104.00	 1.00	 -18.00	 1.00	 39.40	 0.30	 45.00	 2.00	           	 12	 16	 78       	 16	J04262460+1651118	J042624.68+165111.5	3313743706123375232	HIP 20719                                 	V906 Tau
     237	HYA   	HD 28099                   	G2V          	04 26 40.23	+16 44 48.4	 108.85	 0.07	 -28.09	 0.04	 40.20	 0.30	 46.00	 1.00	           	 85	  5	 78       	  5	J04264010+1644488	J042640.19+164448.5	3313689417734366720	HIP 20741                                 	HD 28099
     238	HYA   	HD 286798                  	K2           	04 26 42.75	+12 41 11.8	 123.00	 4.00	 -17.00	 3.00	 41.40	 0.20	 34.00	 3.00	           	 84	 16	 78       	 16	J04264280+1241120	J042642.89+124111.5	                   	HIP 20745                                 	HD 286798
     239	HYA   	HD 286820                  	K0           	04 26 48.37	+10 52 15.8	 111.00	 2.00	 -16.00	 1.00	 41.10	 0.20	 42.00	 3.00	           	 84	 16	 78       	 16	J04264825+1052160	J042648.32+105215.8	3306007129990778368	HIP 20751                                 	HD 286820
     240	HYA   	HD 286789                  	K7           	04 26 54.45	+13 08 17.2	 104.50	 0.20	 -16.50	 0.10	 41.20	 0.20	 48.10	 0.60	           	 84	  5	 78       	  5	J04265434+1308175	J042654.41+130817.2	3307645127438373888	HIP 20762                                 	HD 286789
     241	HYA   	V993 Tau                   	G0           	04 27 36.00	+15 35 20.7	 105.20	 0.06	 -23.80	 0.03	 39.30	 0.20	 47.30	 0.90	           	 85	  5	 78       	  5	J04273587+1535211	J042735.96+153520.8	3312709374919349248	HIP 20815                                 	V993 Tau
     242	HYA   	HD 28237                   	F8           	04 27 46.19	+11 44 10.9	 110.01	 0.08	 -12.47	 0.04	 40.20	 0.20	 46.20	 0.50	           	 12	  5	 78       	  5	J04274607+1144110	J042746.14+114411.0	3306922954457367936	HIP 20826                                 	HD 28237
     243	HYA   	HD 285830                  	K0           	04 27 47.14	+14 25 03.6	 100.50	 0.20	 -19.25	 0.08	 40.46	 0.07	 49.10	 0.70	           	 84	  5	 78       	  5	J04274701+1425041	J042747.10+142503.7	3310903736305456512	HIP 20827                                 	HD 285830
     244	HYA   	HD 28226                   	A            	04 28 00.72	+21 37 12.0	  98.80	 0.90	 -40.60	 0.80	 38.00	 1.00	 47.10	 0.90	           	   	 16	 20       	 16	J04280078+2137117	J042800.85+213711.2	                   	HIP 20842                                 	HD 28226
     245	HYA   	HD 28258                   	G5V          	04 28 04.54	+13 52 04.3	 102.40	 0.20	 -18.99	 0.08	 40.94	 0.08	 47.90	 0.60	           	 99	  5	 78       	  5	J04280440+1352046	J042804.48+135204.4	3307844860597241088	HIP 20850                                 	HD 28258
     246	HYA   	tet01 Tau                  	G9III        	04 28 34.61	+15 57 43.4	 105.00	 1.00	 -15.00	 0.70	 40.17	 0.08	 47.30	 0.60	           	 95	 16	 78       	 16	J04283447+1557437	J042834.57+155743.5	3312748824191277952	HIP 20885                                 	tet01 Tau
     247	HYA   	eps Tau                    	K0III        	04 28 37.11	+19 10 49.0	 107.00	 1.00	 -36.80	 0.80	 39.37	 0.06	 45.00	 0.50	           	105	 16	 78       	 16	J04283697+1910494	                   	  48026770980471808	HIP 20889                                 	eps Tau
     248	HYA   	V918 Tau                   	G5           	04 28 37.33	+19 44 25.9	 102.72	 0.07	 -38.13	 0.04	 39.91	 0.08	 47.60	 0.70	           	   	  5	 78       	  5	J04283719+1944265	J042837.29+194426.1	  48061405596787712	HIP 20890                                 	V918 Tau
     249	HYA   	tet02 Tau                  	A7III        	04 28 39.85	+15 52 14.8	 109.00	 1.00	 -26.40	 0.70	 38.90	 0.20	 46.00	 1.00	           	   	 16	106       	 16	J04283971+1552151	J042839.83+155215.0	3312744215691457536	HIP 20894                                 	tet02 Tau
     250	HYA   	HD 28344                   	G2V          	04 28 48.41	+17 17 07.3	 108.70	 0.07	 -28.42	 0.04	 40.00	 0.20	 46.20	 0.60	           	 12	  5	 78       	  5	J04284827+1717079	J042848.37+171707.3	3314109912215994112	HIP 20899                                 	HD 28344
     251	HYA   	b Tau                      	A7V          	04 28 50.10	+13 02 51.5	 105.20	 0.80	 -15.10	 0.60	 37.00	 1.00	 48.90	 0.70	           	  4	 16	 20       	 16	J04285014+1302510	J042850.25+130251.0	                   	HIP 20901                                 	b Tau
     252	HYA   	HD 28363                   	F8V          	04 28 59.88	+16 09 32.3	  90.00	 2.00	 -25.00	 1.00	 45.00	 3.00	 48.00	 2.00	           	107	 16	 80       	 16	J04285976+1609327	J042859.81+160932.2	3312892752840628352	HIP 20916                                 	HD 28363
     253	HYA   	HD 28394                   	G0           	04 29 20.66	+17 32 41.3	 105.00	 1.00	 -31.60	 0.90	 39.90	 0.10	 43.00	 1.00	           	   	 16	 78       	 16	J04292055+1732418	J042920.64+173241.4	3314167396054905728	HIP 20935                                 	HD 28394
     254	HYA   	HD 28406                   	F6V          	04 29 30.46	+17 51 46.9	 106.09	 0.06	 -31.97	 0.03	 38.60	 0.20	 46.50	 0.70	           	 90	  5	 78       	  5	J04293033+1751475	J042930.42+175147.3	3314212063714381056	HIP 20948                                 	HD 28406
     255	HYA   	HD 283704                  	G5           	04 29 30.86	+26 40 16.8	  82.80	 0.08	 -48.48	 0.06	 39.00	 0.20	 57.00	 1.00	           	 84	  5	 78       	  5	J04293075+2640176	J042930.83+264017.0	 151379146007107200	HIP 20949                                 	HD 283704
     256	HYA   	HD 285773                  	K0V          	04 29 31.72	+17 53 35.0	 107.60	 0.20	 -32.89	 0.09	 40.70	 0.06	 45.50	 0.50	           	 94	  5	 78       	  5	J04293159+1753355	J042931.69+175335.1	3314213025787054592	HIP 20951                                 	HD 285773
     257	HYA   	HD 28462                   	K1V          	04 29 57.84	+16 40 21.8	 106.80	 0.10	 -28.27	 0.07	 40.97	 0.06	 44.70	 0.50	           	 12	  5	 78       	  5	J04295771+1640222	J042957.80+164021.9	3312951748510907648	HIP 20978                                 	HD 28462
     258	HYA   	80 Tau                     	F0V          	04 30 08.53	+15 38 16.4	 108.00	 1.00	 -23.90	 0.90	 29.00	 2.00	 46.00	 2.00	           	   	 16	 20       	 16	J04300858+1538164	J043008.70+153816.0	                   	HIP 20995                                 	80 Tau
     259	HYA   	HR 1427                    	A6IV         	04 30 33.57	+16 11 38.7	 105.00	 0.70	 -25.10	 0.50	 38.10	 0.80	 43.20	 0.60	           	   	 16	 20       	 16	J04303362+1611383	J043033.72+161138.3	                   	HIP 21029                                 	HR 1427
     260	HYA   	83 Tau                     	F0IV         	04 30 37.47	+13 43 27.6	 108.10	 0.90	 -19.70	 0.70	 39.00	 1.00	 45.20	 0.70	           	108	 16	 80       	 16	J04303734+1343275	J043037.43+134327.8	3307782566391765376	HIP 21036                                 	83 Tau
     261	HYA   	81 Tau                     	A            	04 30 39.00	+15 41 30.4	 104.00	 1.00	 -24.30	 0.80	 39.60	 0.20	 45.00	 1.00	           	   	 16	 81       	 16	J04303886+1541309	J043038.98+154130.4	3312628354656734464	HIP 21039                                 	81 Tau
     262	HYA   	HD 28568                   	F2           	04 30 46.92	+16 08 54.8	 109.44	 0.03	 -31.78	 0.02	 41.00	 1.00	 42.00	 1.00	           	 85	  5	109       	  5	J04304677+1608554	J043046.89+160855.0	3312837021344678144	HIP 21053                                 	HD 28568
     263	HYA   	HD 28608                   	F7V          	04 30 57.28	+10 45 06.2	 102.99	 0.04	 -10.82	 0.02	 41.30	 0.30	 47.20	 0.80	           	107	  5	 78       	  5	J04305716+1045063	J043057.24+104506.5	3305871821341047808	HIP 21066                                 	HD 28608
     264	HYA   	HD 28593                   	G8V          	04 31 15.81	+20 07 58.8	 106.40	 0.10	 -39.26	 0.08	 40.62	 0.08	 46.10	 0.50	           	 87	  5	 78       	  5	J04311569+2007593	J043115.76+200759.0	 144171228809559808	HIP 21099                                 	HD 28593
     265	HYA   	HD 28635                   	F9V          	04 31 29.44	+13 54 12.2	  89.95	 0.06	 -17.36	 0.03	 41.00	 0.30	 53.90	 0.90	           	 12	  5	 78       	  5	J04312933+1354125	J043129.40+135412.3	3307815001984777088	HIP 21112                                 	HD 28635
     266	HYA   	HD 28634                   	K2V          	04 31 37.22	+17 42 34.7	 106.00	 2.00	 -31.00	 1.00	 40.40	 0.10	 44.00	 2.00	           	 99	 16	 78       	 16	J04313708+1742352	J043137.18+174234.8	3314151246977304192	HIP 21123                                 	HD 28634
     267	HYA   	85 Tau                     	F4V          	04 31 51.69	+15 51 05.9	 107.60	 0.80	 -32.40	 0.60	 36.00	 3.00	 45.00	 1.00	           	   	 16	 80       	 16	J04315174+1551057	J043151.82+155105.5	                   	HIP 21137                                 	85 Tau
     268	HYA   	HD 285876                  	K0V          	04 31 52.58	+15 29 57.8	 105.20	 0.30	 -24.30	 0.20	 41.30	 0.20	 45.40	 0.50	           	 99	  5	 78       	  5	J04315244+1529585	J043152.54+152957.9	3312564033223630720	HIP 21138                                 	HD 285876
     269	HYA   	HD 28736                   	F5V          	04 32 04.92	+05 24 36.3	 112.59	 0.04	   8.06	 0.02	 40.00	 1.00	 43.50	 0.80	           	 85	  5	 81       	  5	J04320481+0524359	J043204.87+052436.1	3285426608781249408	HIP 21152                                 	HD 28736
     270	HYA   	V1147 Tau                  	K5V          	04 32 25.76	+13 06 47.4	 104.60	 0.20	 -18.40	 0.10	 42.00	 1.00	 46.70	 0.50	           	110	  5	 81       	  5	J04322565+1306476	J043225.72+130647.4	3307504218151520256	HIP 21179                                 	V1147 Tau
     271	HYA   	HD 284552                  	K7V          	04 33 37.30	+21 09 02.4	 108.30	 0.10	 -46.30	 0.10	 41.40	 0.20	 43.50	 0.50	           	 82	  5	 78       	  5	J04333716+2109030	J043337.25+210902.5	 144377799556207488	HIP 21256                                 	HD 284552
     272	HYA   	HD 285837                  	K7           	04 33 42.03	+19 00 50.0	 100.10	 0.20	 -33.80	 0.10	 41.40	 0.20	 47.60	 0.60	           	 84	  5	 78       	  5	J04334192+1900504	J043342.00+190050.2	3410453484725565312	HIP 21261                                 	HD 285837
     273	HYA   	HD 28911                   	F2           	04 33 46.75	+13 15 06.5	 102.82	 0.04	 -17.42	 0.02	 36.90	 0.90	 46.10	 0.90	           	 85	  5	109       	  5	J04334663+1315068	J043346.71+131506.7	3307528029449757056	HIP 21267                                 	HD 28911
     275	HYA   	HD 285931                  	G5           	04 33 58.64	+15 09 48.7	 102.00	 2.00	 -34.00	 1.00	 38.00	 1.00	 42.00	 3.00	           	 12	 16	 80       	 16	J04335852+1509491	J043358.60+150948.8	3309540170088830464	HIP 21280                                 	HD 285931
     276	HYA   	HD 28992                   	F8           	04 34 35.41	+15 30 16.2	 101.10	 0.10	 -26.74	 0.06	 40.80	 0.20	 46.00	 0.50	           	 85	  5	 78       	  5	J04343529+1530166	J043435.37+153016.3	3312575681175439616	HIP 21317                                 	HD 28992
     277	HYA   	V1116 Tau                  	F5IV         	04 36 29.26	+23 20 26.3	 110.00	 1.00	 -53.90	 0.80	 43.00	 1.00	 47.50	 0.90	           	   	 16	 80       	 16	J04362913+2320270	J043629.22+232026.3	 146740203370599296	HIP 21459                                 	V1116 Tau
     278	HYA   	HD 29225                   	F8           	04 36 40.82	+15 52 09.2	  95.06	 0.04	 -25.93	 0.03	 34.00	 1.00	 42.00	 1.00	           	 85	  5	 80       	  5	J04364070+1552094	J043640.81+155209.5	3309967055477808000	HIP 21474                                 	HD 29225
     279	HYA   	HD 283750                  	K3IVe        	04 36 48.50	+27 07 53.7	 232.10	 0.10	-147.70	 0.06	 36.18	 0.08	 17.50	 0.10	           	 65	  5	 78       	  5	J04364822+2707559	J043648.42+270754.3	 151650072541569280	HIP 21482                                 	HD 283750
     280	HYA   	HD 29310                   	G0           	04 37 32.09	+15 08 47.0	  87.00	 5.00	 -18.00	 3.00	 42.00	 0.30	 50.00	 4.00	           	   	 16	 78       	 16	J04373196+1508473	J043732.05+150847.0	3309493715722074880	HIP 21543                                 	HD 29310
     281	HYA   	c Tau                      	A6V          	04 38 09.40	+12 30 39.1	 102.00	 1.00	 -14.90	 0.80	 45.00	 5.00	 47.00	 1.00	           	   	 16	 80       	 16	J04380945+1230388	J043809.54+123039.0	                   	HIP 21589                                 	c Tau
     282	HYA   	HD 29419                   	F5           	04 38 51.41	+23 08 59.1	 105.49	 0.06	 -54.19	 0.03	 39.90	 0.30	 43.50	 0.50	           	   	  5	 78       	  5	J04385127+2309000	J043851.36+230859.3	 146677874804442240	HIP 21637                                 	HD 29419
     283	HYA   	HD 29461                   	G5           	04 38 57.42	+14 06 19.7	 103.00	 1.00	 -21.60	 0.90	 41.90	 0.10	 47.00	 2.00	           	 12	 16	 78       	 16	J04385729+1406202	J043857.38+140619.8	3309170871620715008	HIP 21654                                 	HD 29461
     284	HYA   	HD 29499                   	A5           	04 39 06.25	+07 52 15.6	  92.00	 1.00	  -4.60	 0.80	 36.00	 1.00	 49.20	 0.80	           	   	 16	 80       	 16	J04390614+0752155	J043906.23+075215.4	3292227603594868224	HIP 21670                                 	HD 29499
     285	HYA   	sig02 Tau                  	A5Vn         	04 39 16.45	+15 55 04.9	  82.00	 1.00	 -19.50	 0.90	 41.00	 1.00	 47.70	 0.60	           	   	 16	 20       	 16	J04391649+1555048	J043916.57+155504.5	                   	HIP 21683                                 	sig02 Tau
     286	HYA   	HD 286929                  	K7           	04 39 51.08	+12 43 42.3	 102.60	 0.20	 -16.20	 0.10	 42.50	 0.20	 42.70	 0.40	           	 84	  5	 78       	  5	J04395095+1243426	J043951.04+124342.4	3307992332594320640	HIP 21723                                 	HD 286929
     287	HYA   	HD 284574                  	K0           	04 40 05.93	+23 18 15.8	  75.70	 0.20	 -38.49	 0.09	 41.30	 0.20	 59.10	 0.80	           	 84	  5	 78       	  5	J04400583+2318163	J044005.89+231815.9	 146698078328904064	HIP 21741                                 	HD 284574
     288	HYA   	HD 29608                   	K3Ve         	04 40 25.57	+16 30 49.0	  92.00	 4.00	 -31.00	 2.00	 40.90	 0.20	 45.00	 4.00	           	 79	 16	 78       	 16	J04402546+1630495	J044025.54+163049.1	3310104941108072320	HIP 21762                                 	HD 29608
     289	HYA   	HR 1507                    	F0V          	04 44 25.77	+11 08 46.2	  99.00	 1.00	 -13.50	 0.90	 39.60	 0.50	 45.80	 0.60	           	   	 16	 80       	 16	J04442583+1108461	J044425.90+110846.0	                   	HIP 22044                                 	HR 1507
     290	HYA   	HD 30210                   	A            	04 46 01.81	+11 42 20.0	  67.00	 1.00	  -7.10	 0.80	 43.00	 1.00	 72.00	 2.00	           	   	 16	111       	 16	J04460173+1142200	J044601.74+114220.3	3295637159087792896	HIP 22157                                 	HD 30210
     291	HYA   	2MASS J04461879+0338108    	K4.5         	04 46 18.89	+03 38 11.0	  93.30	 0.20	  13.30	 0.10	 43.20	 0.30	 45.20	 0.50	           	 86	  5	 78       	  5	J04461879+0338108	J044618.85+033810.9	3281064262038614912	HIP 22177                                 	2MASS J04461879+0338108
     292	HYA   	HD 30246                   	G5           	04 46 30.48	+15 28 19.0	  86.72	 0.08	 -25.98	 0.06	 42.40	 0.70	 46.70	 0.60	           	 12	  5	 78       	  5	J04463036+1528194	J044630.45+152819.2	3309006597711379328	HIP 22203                                 	HD 30246
     293	HYA   	HD 30311                   	F9.5V        	04 46 45.69	+09 01 02.7	  89.00	 1.00	 -17.00	 1.00	 42.50	 0.10	 40.00	 1.00	           	 32	 16	 78       	 16	J04464557+0901029	J044645.68+090102.9	3292800105555449472	HIP 22221                                 	HD 30311
     294	HYA   	HD 30264                   	K3           	04 46 49.55	+17 44 53.5	  97.00	 2.00	 -34.00	 2.00	 40.32	 0.09	 42.00	 3.00	           	112	 16	 78       	 16	J04464943+1744540	J044649.51+174453.6	3406380172103394688	HIP 22224                                 	HD 30264
     295	HYA   	HD 284653                  	K4V          	04 47 26.27	+23 03 02.7	  78.90	 0.20	 -41.25	 0.09	 41.80	 0.20	 54.40	 0.90	           	 82	  5	 78       	  5	J04472618+2303032	J044726.24+230302.8	3413146910255989248	HIP 22253                                 	HD 284653
     296	HYA   	HD 30355                   	G0           	04 47 37.66	+18 15 30.9	  79.00	 2.00	 -39.00	 2.00	 42.40	 0.20	 52.00	 4.00	           	   	 16	113       	 16	J04473755+1815315	J044737.62+181531.1	3406786441647228416	HIP 22265                                 	HD 30355
     297	HYA   	HD 284787                  	G5           	04 48 42.23	+21 06 02.9	  82.00	 5.00	 -46.00	 5.00	 41.80	 0.40	 52.00	 7.00	           	 84	 16	 78       	 16	J04484211+2106035	J044842.20+210603.1	3411887591485815936	HIP 22350                                 	HD 284787
     298	HYA   	HD 30505                   	K1V          	04 49 03.62	+18 38 27.9	  87.00	 0.10	 -38.40	 0.09	 41.60	 0.20	 44.80	 0.50	           	 79	  5	 78       	  5	J04490351+1838285	J044903.58+183828.0	3406823240927024256	HIP 22380                                 	HD 30505
     299	HYA   	V808 Tau                   	K5           	04 49 13.08	+24 48 09.4	  84.70	 0.10	 -52.92	 0.07	 40.60	 0.30	 48.90	 0.70	           	 84	  5	 78       	  5	J04491296+2448103	J044913.05+244809.6	 147182172683187712	HIP 22394                                 	V808 Tau
     300	HYA   	HD 30589                   	F8           	04 49 32.22	+15 53 19.1	  86.74	 0.07	 -25.50	 0.05	 42.00	 0.10	 47.90	 0.60	           	   	  5	 78       	  5	J04493211+1553197	J044932.18+155319.2	3405113740864365440	HIP 22422                                 	HD 30589
     301	HYA   	HD 30712                   	G5           	04 50 33.91	+15 05 00.1	  88.98	 0.06	 -23.36	 0.04	 42.30	 0.30	 47.00	 1.00	           	   	  5	 78       	  5	J04503379+1505004	J045033.87+150500.3	3404812680839290368	HIP 22505                                 	HD 30712
     302	HYA   	HD 30738                   	F8           	04 50 48.63	+16 12 37.2	  83.10	 0.04	 -26.25	 0.03	 42.70	 0.20	 49.80	 0.80	           	 85	  5	 78       	  5	J04504853+1612376	J045048.59+161237.4	3405220084257276416	HIP 22524                                 	HD 30738
     303	HYA   	HD 30810                   	F6V          	04 51 12.62	+11 04 04.7	  88.00	 1.00	  -9.00	 1.00	 42.40	 0.20	 47.00	 2.00	           	   	 16	 78       	 16	J04511253+1104049	J045112.58+110404.8	3294734593185928192	HIP 22550                                 	HD 30810
     304	HYA   	i Tau                      	A7IV-V       	04 51 22.55	+18 50 23.0	  79.70	 0.90	 -32.80	 0.80	 37.00	 1.00	 51.00	 2.00	           	114	 16	 80       	 16	J04512244+1850231	J045122.54+185023.0	3406917214811818880	HIP 22565                                 	i Tau
     305	HYA   	HD 30809                   	F8           	04 51 23.28	+15 26 00.2	  65.82	 0.06	 -18.20	 0.04	 42.90	 0.20	 61.00	 1.00	           	 12	  5	 78       	  5	J04512320+1526004	J045123.26+152600.3	3404850785786832512	HIP 22566                                 	HD 30809
     306	HYA   	HD 30869                   	F5           	04 51 50.09	+13 39 18.0	 107.00	 1.00	 -16.00	 0.70	 39.80	 0.20	 41.00	 2.00	           	 85	 16	 78       	 16	J04514995+1339186	J045150.04+133918.1	3296520062634168832	HIP 22607                                 	HD 30869
     307	HYA   	HD 284930                  	K0           	04 52 23.62	+18 59 48.3	  79.20	 0.30	 -35.20	 0.20	 42.90	 0.30	 50.40	 0.60	           	 84	  5	 78       	  5	J04522352+1859489	J045223.58+185948.5	3406943087694799744	HIP 22654                                 	HD 284930
     308	HYA   	HD 31236                   	F3IV         	04 54 58.43	+19 29 07.0	  62.84	 0.03	 -28.92	 0.02	 38.00	 2.00	 63.00	 2.00	           	   	  5	109       	  5	J04545835+1929075	J045458.41+192907.1	3408463506117452544	HIP 22850                                 	HD 31236
     309	HYA   	HD 31609                   	G5           	04 57 49.58	+14 00 07.6	  69.80	 0.10	 -18.05	 0.08	 43.70	 0.20	 54.50	 0.70	           	   	  5	 78       	  5	J04574950+1400079	J045749.55+140007.7	3392446817156214784	HIP 23069                                 	HD 31609
     310	HYA   	101 Tau                    	F5V          	04 59 44.41	+15 54 59.8	  87.20	 0.70	 -29.20	 0.50	 43.00	 2.00	 40.80	 0.70	           	115	 16	 81       	 16	J04594432+1555002	J045944.38+155459.9	3393284748096127488	HIP 23214                                 	101 Tau
     311	HYA   	BD+04 810                  	K2           	05 00 48.96	+04 43 59.4	  72.70	 0.20	  10.00	 0.10	 42.20	 0.40	 51.90	 0.60	           	   	  5	 81       	  5	J05004888+0443591	J050048.93+044359.3	3239389678968988288	HIP 23312                                 	BD+04 810
     312	HYA   	iot Tau                    	A7V          	05 03 05.70	+21 35 24.2	  68.90	 0.80	 -40.80	 0.50	 38.00	 1.00	 53.00	 0.80	           	116	 16	 20       	 16	J05030574+2135238	J050305.80+213523.5	                   	HIP 23497                                 	iot Tau
     313	HYA   	HD 32347                   	K0           	05 03 07.73	+13 43 50.1	  66.30	 0.10	 -18.03	 0.06	 43.50	 0.20	 53.20	 0.80	           	   	  5	 78       	  5	J05030765+1343505	J050307.70+134350.2	3391712034151625984	HIP 23498                                 	HD 32347
     314	HYA   	V1362 Ori                  	K2           	05 05 40.44	+06 27 54.7	  66.00	 2.00	   4.00	 1.00	 42.90	 0.20	 52.00	 8.00	           	   	 16	 78       	 16	J05054038+0627545	J050540.42+062754.7	3240238398866400256	HIP 23701                                 	V1362 Ori
     315	HYA   	HD 240648                  	K0           	05 06 18.06	+17 48 58.6	  64.51	 0.09	 -31.18	 0.05	 42.30	 0.20	 53.20	 0.80	           	   	  5	 81       	  5	J05061798+1748591	J050618.03+174858.7	3407121827053483776	HIP 23750                                 	HD 240648
     316	HYA   	h Ori                      	A2           	05 09 19.60	+09 49 46.6	  63.50	 0.90	  -7.90	 0.60	 44.20	 0.10	 55.00	 1.00	           	   	 16	 81       	 16	J05091963+0949465	J050919.68+094946.5	                   	HIP 23983                                 	h Ori
     317	HYA   	HD 33400                   	F0           	05 10 47.58	+20 34 08.6	  41.03	 0.06	 -25.96	 0.03	 45.00	 1.00	 78.00	 4.00	           	   	  5	 80       	  5	J05104753+2034091	J051047.55+203408.7	3414082525931242368	HIP 24116                                 	HD 33400
     318	HYA   	HD 242780                  	K0           	05 20 25.48	+11 36 35.1	  52.20	 0.10	 -13.60	 0.07	 43.70	 0.20	 55.20	 0.90	           	   	  5	 81       	  5	J05202542+1136353	J052025.45+113635.2	3387381641964995712	HIP 24923                                 	HD 242780
     319	HYA   	122 Tau                    	F0V          	05 37 03.71	+17 02 25.5	  43.00	 1.00	 -34.90	 0.60	 41.00	 1.00	 48.60	 0.90	           	   	 16	 80       	 16	J05370373+1702253	J053703.78+170224.9	                   	HIP 26382                                 	122 Tau
     320	THA   	HIP 490                    	G0V          	00 05 52.68	-41 45 12.2	  97.96	 0.03	 -76.51	 0.03	  2.00	 1.00	 38.50	 0.50	           	 30	  5	 12       	  5	J00055255-4145109	J000552.64-414511.7	4995853010350414976	                                          	HIP 490
     321	THA   	HIP 1113                   	G8V          	00 13 53.32	-74 41 18.6	  82.71	 0.05	 -49.13	 0.05	  9.30	 0.20	 46.90	 0.70	           	 30	  5	 30       	  5	J00135300-7441178	J001353.21-744118.3	4688292532592267264	                                          	HIP 1113
     322	THA   	HIP 1481                   	F8           	00 18 26.33	-63 28 39.9	  90.15	 0.04	 -59.20	 0.05	  6.40	 0.40	 43.00	 0.40	           	117	  5	 20       	  5	J00182612-6328389	J001826.27-632839.6	4901229039663980800	                                          	HIP 1481
